PATH,PROGRAMA,RESOLUCION,IMAGEN_FONDO,TITULO_A_OBTENER,DOBLE_TITULACION,DESCRIPCION,META_DESCRIPCION,MODALIDAD,TIPO,DURACION,URL_SITIOWEB,URL_BROCHURE,PIXEL_GTM,title
administracion-de-empresas,Administracion de Empresas,RPC-SO-27-No.527-2017 RPC-SO-16-No. 322-2020,images/background.jpg,Licenciado en Administración de Empresas,,"El egresado de la Licenciatura en Administración de Empresas tendrá la capacidad de aportar a la transformación económica-productiva, apoyando al desarrollo de los sectores estratégicos, industrial y tecnológicos del país; respetando la diversidad cultural y colaborando con una sociedad más igualitaria, justa y preocupada por el medio ambiente a través del estudio de artículos científicos, actas de congresos, análisis de casos de éxito de empresas iberoamericanas, anglosajonas y europeas y charlas y exposiciones con empresarios nacionales.","Carrera Online en Administración de Empresas. Universidad en Ecuador con formación de alto impacto, modalidad presencial e híbrida, horarios nocturnos y sabados.",Online,Grado,4 Años,https://online.uees.edu.ec/grado/administracion-de-empresas-online?utm_campaign=UEES_GRADO_EC&platform=LANDING&utm_source=FORM_WEB&utm_medium=TRAFICO&utm_term=INTERESES_ESPECIFICO&utm_content=CAMP_LANDINGS_ABR26&utm_id=BTN_VER_PROGRAMA,https://online.uees.edu.ec/grado/mallas/ADMINISTRACIO%CC%81N%20DE%20EMPRESAS.pdf,GTM-58CRP56,Administración de Empresas
comercio-exterior,Comercio Exterior,RPC-SO-10-No.127-2018 RPC-SE-09-No.086-2020,images/background.jpg,Licenciado en Comercio Exterior,,"La carrera de Comercio Exterior forma profesionales capaces de aportar a la transformación económica y productiva del país, apoyando al desarrollo de los sectores estratégicos para la búsqueda del comercio integrado a nivel nacional e internacional, respetando la diversidad cultural y colaborando con una sociedad más igualitaria, justa y preocupada por el medio ambiente. La metodología implica el estudio de artículos científicos, actas de congresos, análisis de casos exitosos de empresas iberoamericanas, anglosajonas y europeas, con charlas y exposiciones con empresarios honestos, exitosos y socialmente responsables.","Carrera Online de comercio exterior. Universidad en Ecuador con formación de alto impacto en modalidad online, título equivalente en Estados Unidos.",Online,Grado,4 Años,https://online.uees.edu.ec/grado/comercio-exterior-online?utm_campaign=UEES_GRADO_EC&platform=LANDING&utm_source=FORM_WEB&utm_medium=TRAFICO&utm_term=INTERESES_ESPECIFICO&utm_content=CAMP_LANDINGS_ABR26&utm_id=BTN_VER_PROGRAMA,https://online.uees.edu.ec/grado/mallas/COMERCIO%20EXTERIOR.pdf,GTM-58CRP56,Comercio Exterior
computacion,Computacion,RPC-SO-25-No.488-2017 RPC-SO-16-No. 322-2020,images/background.jpg,Ingeniero en ciencias de la computación,,"Un Ingeniero en ciencias de la computación de la UEES es un profesional innovador, capacitado para aportar al desarrollo de la sociedad con soluciones integrales a problemas vinculados a su disciplina, en el contexto nacional y global, mediante el uso eficiente de la tecnología, aplicando normas de calidad y considerando los aspectos de responsabilidad social, económica y ambiental, enmarcados en lo ético y lo moral. El conjunto de conocimientos, habilidades, actitudes y valores impartidos en la UEES, le permiten al profesional prestar sus servicios en cualquier organización de bienes y servicios, tanto en los sectores público, privado y social.","Carrera Online de ciencias de la computación. Universidad en Ecuador con formación de alto impacto en modalidad online, título equivalente en Estados Unidos.",Online,Grado,4 Años,https://online.uees.edu.ec/grado/ciencias-de-la-computacion-online?utm_campaign=UEES_GRADO_EC&platform=LANDING&utm_source=FORM_WEB&utm_medium=TRAFICO&utm_term=INTERESES_ESPECIFICO&utm_content=CAMP_LANDINGS_ABR26&utm_id=BTN_VER_PROGRAMA,https://online.uees.edu.ec/grado/mallas/COMPUTACIO%CC%81N.pdf,GTM-58CRP56,Computación
contabilidad-y-auditoria,Contabilidad y Auditoria,RPC-SO-10-No.127-2018 RPC-SO-16-No.322-2020,images/background.jpg,Licenciado en Contabilidad y Auditoría,,"La carrera de Contabilidad y Auditoría de la UEES involucra una educación, capacitación, práctica e investigación con un enfoque inclusivo, ético y humanístico. La carrera comprende estudios relacionados a funciones y procesos derivados de la gestión empresarial, incluyendo actividades de comercialización, administración, producción y financiación.","Carrera Online de Contabilidad y Auditoría. Universidad en Ecuador con formación de alto impacto en modalidad online, título equivalente en Estados Unidos.",Online,Grado,4 Años,https://online.uees.edu.ec/grado/contabilidad-y-auditoria-online?utm_campaign=UEES_GRADO_EC&platform=LANDING&utm_source=FORM_WEB&utm_medium=TRAFICO&utm_term=INTERESES_ESPECIFICO&utm_content=CAMP_LANDINGS_ABR26&utm_id=BTN_VER_PROGRAMA,https://online.uees.edu.ec/grado/mallas/COMPUTACIO%CC%81N.pdf,GTM-58CRP56,Contabilidad y Auditoría
derecho,Derecho,RPC-SO-30-No.562-2017 RPC-SE-09-No. 086-2020,images/background.jpg,Abogado,,"Formar abogados con fundamentos éticos y humanísticos sólidos, con capacidad de análisis, razonamiento crítico y argumentación para resolver problemas jurídicos, que desarrollen destrezas en el conocimiento general y específico del derecho, teniendo a la oralidad como uno de los retos que debe cumplir el abogado.","Carrera Online de Derecho. Universidad en Ecuador con formación de alto impacto en modalidad online, título equivalente en Estados Unidos.",Online,Grado,4 Años,https://online.uees.edu.ec/grado/derecho-online?utm_campaign=UEES_GRADO_EC&platform=LANDING&utm_source=FORM_WEB&utm_medium=TRAFICO&utm_term=INTERESES_ESPECIFICO&utm_content=CAMP_LANDINGS_ABR26&utm_id=BTN_VER_PROGRAMA,https://online.uees.edu.ec/grado/mallas/DERECHO.pdf,GTM-58CRP56,Derecho
logistica-y-transporte,Logística y Transporte,RPC-SO-38-No.659-2023,images/background.jpg,Ingeniero/a en Logística y Transporte,,"La carrera de Logística y Transporte es formar profesionales capacitados para planificar, gestionar y optimizar eficientemente los procesos de movimiento, almacenamiento y distribución de bienes y servicios. Los graduados de esta carrera estarán preparados para coordinar redes de transporte, gestionar inventarios, reducir costos logísticos y mejorar la eficiencia en la cadena de suministro, contribuyendo así al funcionamiento efectivo de empresas y organizaciones en diversos sectores.","Carrera Online de Logística y Transporte. Universidad en Ecuador con formación de alto impacto en modalidad online, título equivalente en Estados Unidos.",Online,Grado,4 Años,https://online.uees.edu.ec/grado/logistica-y-transporte?utm_campaign=UEES_GRADO_EC&platform=LANDING&utm_source=FORM_WEB&utm_medium=TRAFICO&utm_term=INTERESES_ESPECIFICO&utm_content=CAMP_LANDINGS_ABR26&utm_id=BTN_VER_PROGRAMA,https://online.uees.edu.ec/grado/mallas/LOGI%CC%81STICA%20Y%20TRANSPORTE.pdf,GTM-58CRP56,Logística y Transporte
marketing,Marketing,RPC-SO-28-No.451-2018 RPC-SO-03-No.077-2021,images/background.jpg,Licenciado en Marketing,,"La licenciatura en Marketing de la UEES está enfocada en formar futuros profesionales con el perfil adecuado para integrarse al ambiente empresarial, sea público, privado o sin fines de lucro, optando por cargos de mandos gerenciales con elementos que desarrollan el emprendimiento y dan iniciativas de actividades corporativas.","Carrera Online de Marketing. Universidad en Ecuador con formación de alto impacto en modalidad online, título equivalente en Estados Unidos.",Online,Grado,4 Años,https://online.uees.edu.ec/grado/marketing-online?utm_campaign=UEES_GRADO_EC&platform=LANDING&utm_source=FORM_WEB&utm_medium=TRAFICO&utm_term=INTERESES_ESPECIFICO&utm_content=CAMP_LANDINGS_ABR26&utm_id=BTN_VER_PROGRAMA,https://online.uees.edu.ec/grado/mallas/MARKETING.pdf,GTM-58CRP56,Marketing
